tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1999-339,Adelaide,Hard,32,A,19990104,1,102158,1.0,,Patrick Rafter,R,185.0,AUS,26.0,102863,,Q,Takao Suzuki,R,175.0,JPN,22.2,6-3 6-0,3,R32,54.0,4.0,3.0,55.0,36.0,29.0,9.0,8.0,8.0,8.0,2.0,2.0,36.0,28.0,14.0,4.0,7.0,3.0,7.0,4.0,3315.0,115.0,415.0
1999-339,Adelaide,Hard,32,A,19990104,2,101792,,,Slava Dosedel,R,183.0,CZE,28.3,101793,,,Jim Courier,R,185.0,USA,28.3,7-5 6-3,3,R32,71.0,5.0,0.0,53.0,37.0,29.0,12.0,10.0,1.0,1.0,3.0,2.0,71.0,41.0,31.0,12.0,11.0,5.0,8.0,64.0,723.0,77.0,635.0
1999-339,Adelaide,Hard,32,A,19990104,3,102562,,,Jiri Novak,R,190.0,CZE,23.7,102776,,,Andrew Ilie,R,180.0,AUS,22.7,6-2 6-1,3,R32,45.0,1.0,2.0,41.0,24.0,19.0,11.0,7.0,0.0,0.0,2.0,4.0,47.0,22.0,12.0,8.0,8.0,3.0,8.0,75.0,669.0,59.0,757.0
1999-339,Adelaide,Hard,32,A,19990104,4,103720,,WC,Lleyton Hewitt,R,180.0,AUS,17.8,103017,7.0,,Nicolas Kiefer,R,183.0,GER,21.5,7-5 6-4,3,R32,86.0,4.0,1.0,68.0,50.0,37.0,11.0,11.0,1.0,1.0,5.0,3.0,74.0,44.0,30.0,17.0,11.0,8.0,10.0,100.0,482.0,35.0,1007.0
1999-339,Adelaide,Hard,32,A,19990104,5,101727,4.0,,Jason Stoltenberg,R,185.0,AUS,28.7,103324,,,Arnaud Di Pasquale,R,185.0,FRA,19.8,6-1 6-4,3,R32,61.0,7.0,3.0,57.0,32.0,28.0,12.0,9.0,1.0,1.0,2.0,2.0,52.0,25.0,16.0,13.0,8.0,4.0,7.0,27.0,1280.0,81.0,613.0
1999-339,Adelaide,Hard,32,A,19990104,6,101150,,,Gianluca Pozzi,L,180.0,ITA,33.5,101889,,,Todd Woodbridge,R,178.0,AUS,27.7,6-4 6-2,3,R32,69.0,5.0,1.0,49.0,24.0,19.0,17.0,9.0,1.0,2.0,3.0,2.0,62.0,37.0,21.0,12.0,9.0,3.0,7.0,61.0,730.0,65.0,722.0
1999-339,Adelaide,Hard,32,A,19990104,7,102318,,,Andrei Pavel,R,183.0,ROU,24.9,102025,,Q,Mikael Tillstrom,R,185.0,SWE,26.8,6-3 6-3,3,R32,68.0,5.0,2.0,54.0,41.0,28.0,8.0,9.0,3.0,4.0,5.0,4.0,79.0,51.0,28.0,12.0,9.0,7.0,11.0,68.0,710.0,85.0,588.0
1999-339,Adelaide,Hard,32,A,19990104,8,101647,5.0,,Byron Black,R,175.0,ZIM,29.2,102434,,,Vincent Spadea,R,183.0,USA,24.4,1-6 7-6(6) 6-2,3,R32,120.0,5.0,4.0,79.0,45.0,35.0,18.0,13.0,3.0,6.0,7.0,0.0,106.0,59.0,42.0,23.0,14.0,5.0,8.0,28.0,1259.0,42.0,935.0
1999-339,Adelaide,Hard,32,A,19990104,9,102021,6.0,,Michael Chang,R,175.0,USA,26.8,103206,,Q,Sebastien Grosjean,R,175.0,FRA,20.6,6-3 3-6 6-3,3,R32,106.0,5.0,2.0,84.0,36.0,30.0,26.0,14.0,7.0,10.0,6.0,3.0,87.0,48.0,33.0,16.0,13.0,5.0,9.0,29.0,1242.0,88.0,568.0
1999-339,Adelaide,Hard,32,A,19990104,10,102401,,,Scott Draper,L,178.0,AUS,24.5,102925,,,Justin Gimelstob,R,196.0,USA,21.9,3-6 7-6(6) 6-3,3,R32,129.0,11.0,2.0,103.0,68.0,51.0,15.0,14.0,10.0,13.0,11.0,5.0,108.0,75.0,53.0,13.0,16.0,4.0,8.0,51.0,819.0,80.0,615.0
1999-339,Adelaide,Hard,32,A,19990104,11,101833,,WC,Michael Tebbutt,L,190.0,AUS,28.0,102205,,,Sebastien Lareau,R,183.0,CAN,25.6,6-3 3-6 6-1,3,R32,89.0,6.0,5.0,75.0,36.0,26.0,21.0,13.0,0.0,3.0,4.0,3.0,67.0,37.0,23.0,13.0,12.0,2.0,7.0,122.0,393.0,79.0,622.0
1999-339,Adelaide,Hard,32,A,19990104,12,102856,3.0,,Gustavo Kuerten,R,190.0,BRA,22.3,102259,,,Jerome Golmard,L,188.0,FRA,25.3,7-5 6-1,3,R32,64.0,17.0,1.0,53.0,28.0,24.0,18.0,10.0,1.0,1.0,3.0,5.0,56.0,30.0,20.0,13.0,9.0,1.0,4.0,23.0,1472.0,47.0,883.0
1999-339,Adelaide,Hard,32,A,19990104,13,103103,,,Dominik Hrbaty,R,183.0,SVK,20.9,103264,8.0,,Mariano Puerta,L,180.0,ARG,20.2,4-6 6-1 7-5,3,R32,120.0,13.0,10.0,116.0,58.0,43.0,31.0,15.0,17.0,18.0,6.0,4.0,95.0,68.0,45.0,14.0,14.0,6.0,9.0,46.0,884.0,39.0,983.0
1999-339,Adelaide,Hard,32,A,19990104,14,102234,,Q,Oliver Gross,R,185.0,GER,25.5,101860,,WC,Mark Draper,R,185.0,AUS,27.8,6-2 6-0,3,R32,41.0,1.0,1.0,37.0,22.0,20.0,9.0,7.0,1.0,1.0,1.0,4.0,39.0,23.0,11.0,4.0,7.0,5.0,10.0,97.0,514.0,159.0,296.0
1999-339,Adelaide,Hard,32,A,19990104,15,102184,,,David Prinosil,R,185.0,GER,25.8,102437,,,Adrian Voinea,R,185.0,ROU,24.4,7-6(0) 4-6 6-2,3,R32,102.0,8.0,8.0,102.0,49.0,37.0,26.0,15.0,6.0,9.0,6.0,2.0,83.0,54.0,35.0,15.0,15.0,4.0,8.0,78.0,633.0,71.0,676.0
1999-339,Adelaide,Hard,32,A,19990104,16,102358,2.0,,Thomas Enqvist,R,190.0,SWE,24.8,101185,,,Mark Woodforde,L,188.0,AUS,33.2,0-6 6-4 6-4,3,R32,91.0,11.0,2.0,76.0,42.0,34.0,13.0,13.0,4.0,8.0,10.0,2.0,79.0,41.0,29.0,22.0,13.0,10.0,13.0,22.0,1500.0,58.0,773.0
1999-339,Adelaide,Hard,32,A,19990104,17,101792,,,Slava Dosedel,R,183.0,CZE,28.3,102158,1.0,,Patrick Rafter,R,185.0,AUS,26.0,7-5 6-4,3,R16,79.0,3.0,1.0,76.0,57.0,37.0,14.0,11.0,4.0,4.0,7.0,3.0,63.0,47.0,38.0,5.0,11.0,2.0,4.0,64.0,723.0,4.0,3315.0
1999-339,Adelaide,Hard,32,A,19990104,18,103720,,WC,Lleyton Hewitt,R,180.0,AUS,17.8,102562,,,Jiri Novak,R,190.0,CZE,23.7,7-6(2) 2-6 6-4,3,R16,137.0,2.0,3.0,115.0,71.0,46.0,24.0,15.0,8.0,12.0,4.0,3.0,111.0,78.0,54.0,13.0,15.0,7.0,10.0,100.0,482.0,75.0,669.0
1999-339,Adelaide,Hard,32,A,19990104,19,101727,4.0,,Jason Stoltenberg,R,185.0,AUS,28.7,101150,,,Gianluca Pozzi,L,180.0,ITA,33.5,6-3 6-2,3,R16,60.0,9.0,2.0,56.0,41.0,33.0,8.0,9.0,5.0,5.0,4.0,0.0,44.0,22.0,14.0,12.0,8.0,3.0,6.0,27.0,1280.0,61.0,730.0
1999-339,Adelaide,Hard,32,A,19990104,20,101647,5.0,,Byron Black,R,175.0,ZIM,29.2,102318,,,Andrei Pavel,R,183.0,ROU,24.9,6-3 6-2,3,R16,80.0,4.0,0.0,65.0,40.0,27.0,17.0,9.0,3.0,3.0,2.0,0.0,73.0,50.0,30.0,10.0,8.0,9.0,12.0,28.0,1259.0,68.0,710.0
1999-339,Adelaide,Hard,32,A,19990104,21,102401,,,Scott Draper,L,178.0,AUS,24.5,102021,6.0,,Michael Chang,R,175.0,USA,26.8,6-3 7-6(6),3,R16,89.0,7.0,3.0,83.0,50.0,36.0,14.0,11.0,5.0,7.0,5.0,1.0,58.0,33.0,23.0,12.0,10.0,4.0,7.0,51.0,819.0,29.0,1242.0
1999-339,Adelaide,Hard,32,A,19990104,22,101833,,WC,Michael Tebbutt,L,190.0,AUS,28.0,102856,3.0,,Gustavo Kuerten,R,190.0,BRA,22.3,6-7(2) 7-6(5) 7-6(3),3,R16,144.0,12.0,7.0,122.0,62.0,54.0,32.0,18.0,2.0,3.0,23.0,9.0,126.0,57.0,50.0,39.0,18.0,4.0,5.0,122.0,393.0,23.0,1472.0
1999-339,Adelaide,Hard,32,A,19990104,23,103103,,,Dominik Hrbaty,R,183.0,SVK,20.9,102234,,Q,Oliver Gross,R,185.0,GER,25.5,W/O,3,R16,,,,,,,,,,,,,,,,,,,,46.0,884.0,97.0,514.0
1999-339,Adelaide,Hard,32,A,19990104,24,102358,2.0,,Thomas Enqvist,R,190.0,SWE,24.8,102184,,,David Prinosil,R,185.0,GER,25.8,6-2 6-3,3,R16,56.0,6.0,2.0,52.0,25.0,20.0,17.0,9.0,0.0,1.0,9.0,6.0,45.0,22.0,15.0,10.0,8.0,0.0,4.0,22.0,1500.0,78.0,633.0
1999-339,Adelaide,Hard,32,A,19990104,25,103720,,WC,Lleyton Hewitt,R,180.0,AUS,17.8,101792,,,Slava Dosedel,R,183.0,CZE,28.3,4-6 6-4 6-2,3,QF,108.0,4.0,4.0,97.0,54.0,39.0,20.0,14.0,4.0,8.0,4.0,3.0,89.0,60.0,34.0,14.0,14.0,7.0,13.0,100.0,482.0,64.0,723.0
1999-339,Adelaide,Hard,32,A,19990104,26,101727,4.0,,Jason Stoltenberg,R,185.0,AUS,28.7,101647,5.0,,Byron Black,R,175.0,ZIM,29.2,6-3 6-2,3,QF,65.0,7.0,2.0,48.0,29.0,25.0,11.0,9.0,2.0,3.0,1.0,3.0,62.0,36.0,16.0,14.0,8.0,6.0,10.0,27.0,1280.0,28.0,1259.0
1999-339,Adelaide,Hard,32,A,19990104,27,102401,,,Scott Draper,L,178.0,AUS,24.5,101833,,WC,Michael Tebbutt,L,190.0,AUS,28.0,6-7(7) 6-4 7-6(5),3,QF,136.0,3.0,1.0,114.0,81.0,61.0,19.0,17.0,4.0,6.0,20.0,7.0,120.0,62.0,49.0,30.0,17.0,3.0,6.0,51.0,819.0,122.0,393.0
1999-339,Adelaide,Hard,32,A,19990104,28,102358,2.0,,Thomas Enqvist,R,190.0,SWE,24.8,103103,,,Dominik Hrbaty,R,183.0,SVK,20.9,6-2 6-4,3,QF,53.0,4.0,0.0,43.0,24.0,21.0,13.0,9.0,0.0,1.0,8.0,6.0,50.0,29.0,21.0,6.0,9.0,2.0,6.0,22.0,1500.0,46.0,884.0
1999-339,Adelaide,Hard,32,A,19990104,29,103720,,WC,Lleyton Hewitt,R,180.0,AUS,17.8,101727,4.0,,Jason Stoltenberg,R,185.0,AUS,28.7,6-1 6-3,3,SF,62.0,1.0,0.0,49.0,34.0,23.0,11.0,8.0,1.0,1.0,3.0,4.0,52.0,25.0,16.0,10.0,8.0,3.0,7.0,100.0,482.0,27.0,1280.0
1999-339,Adelaide,Hard,32,A,19990104,30,102358,2.0,,Thomas Enqvist,R,190.0,SWE,24.8,102401,,,Scott Draper,L,178.0,AUS,24.5,6-3 7-5,3,SF,65.0,12.0,1.0,56.0,35.0,30.0,12.0,11.0,0.0,1.0,5.0,1.0,59.0,39.0,24.0,11.0,10.0,5.0,8.0,22.0,1500.0,51.0,819.0
1999-339,Adelaide,Hard,32,A,19990104,31,102358,2.0,,Thomas Enqvist,R,190.0,SWE,24.8,103720,,WC,Lleyton Hewitt,R,180.0,AUS,17.8,4-6 6-1 6-2,3,F,90.0,16.0,4.0,66.0,44.0,36.0,13.0,13.0,2.0,3.0,7.0,5.0,90.0,55.0,37.0,13.0,12.0,4.0,8.0,22.0,1500.0,100.0,482.0
1999-451,Doha,Hard,32,A,19990104,1,102450,1.0,,Tim Henman,R,185.0,GBR,24.3,102854,,,Sjeng Schalken,R,193.0,NED,22.3,6-2 6-3,3,R32,64.0,1.0,1.0,53.0,30.0,24.0,15.0,9.0,2.0,2.0,2.0,2.0,46.0,37.0,23.0,1.0,8.0,2.0,5.0,7.0,2620.0,66.0,712.0
1999-451,Doha,Hard,32,A,19990104,2,101962,,,Younes El Aynaoui,R,193.0,MAR,27.3,102148,,,Fabrice Santoro,R,178.0,FRA,26.0,6-4 6-1,3,R32,63.0,4.0,0.0,61.0,40.0,28.0,14.0,9.0,7.0,7.0,5.0,0.0,44.0,31.0,22.0,3.0,8.0,2.0,5.0,45.0,894.0,41.0,935.0
